target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
player,SAFARI,*,sample.mkv,macOS-13.0-arm64-arm-64bit,*,300,99.66666666666666,0.6666666666666686,100.0,100.0,98.33333333333333,100.0,100.0,100.0,100.0,100.0,98.33333333333333,100.0
player,FIREFOX,*,sample.mkv,macOS-13.0-arm64-arm-64bit,*,300,80.33333333333334,4.396968652757639,83.33333333333334,75.0,85.0,85.0,81.66666666666667,71.66666666666667,80.0,85.0,80.0,76.66666666666667
player,CHROME,*,sample.mkv,macOS-13.0-arm64-arm-64bit,*,300,98.83333333333334,1.3017082793177748,98.33333333333333,98.33333333333333,100.0,96.66666666666667,100.0,100.0,100.0,98.33333333333333,100.0,96.66666666666667
player,SAFARI,*,sample.mp4,macOS-13.0-arm64-arm-64bit,*,300,98.0,1.4529663145135565,98.33333333333333,96.66666666666667,98.33333333333333,95.0,96.66666666666667,98.33333333333333,98.33333333333333,98.33333333333333,100.0,100.0
player,FIREFOX,*,sample.mp4,macOS-13.0-arm64-arm-64bit,*,300,83.16666666666666,3.4520525295346633,75.0,85.0,80.0,85.0,86.66666666666667,81.66666666666667,85.0,86.66666666666667,85.0,81.66666666666667
player,CHROME,*,sample.mp4,macOS-13.0-arm64-arm-64bit,*,300,98.83333333333334,1.067187372905475,98.33333333333333,100.0,100.0,98.33333333333333,100.0,98.33333333333333,98.33333333333333,96.66666666666667,100.0,98.33333333333333
player,SAFARI,*,sample.flv,macOS-13.0-arm64-arm-64bit,*,300,99.16666666666667,1.1180339887498947,98.33333333333333,100.0,100.0,100.0,98.33333333333333,98.33333333333333,96.66666666666667,100.0,100.0,100.0
player,FIREFOX,*,sample.flv,macOS-13.0-arm64-arm-64bit,*,300,84.49999999999999,4.890466917040401,88.33333333333333,85.0,88.33333333333333,76.66666666666667,90.0,85.0,88.33333333333333,75.0,86.66666666666667,81.66666666666667
player,CHROME,*,sample.flv,macOS-13.0-arm64-arm-64bit,*,300,98.66666666666666,1.4529663145135585,95.0,98.33333333333333,100.0,100.0,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,100.0,100.0
player,SAFARI,*,sample.3gp,macOS-13.0-arm64-arm-64bit,*,300,99.16666666666666,0.8333333333333357,100.0,98.33333333333333,100.0,98.33333333333333,100.0,98.33333333333333,100.0,98.33333333333333,98.33333333333333,100.0
player,FIREFOX,*,sample.3gp,macOS-13.0-arm64-arm-64bit,*,300,81.66666666666666,4.714045207910315,80.0,88.33333333333333,75.0,88.33333333333333,83.33333333333334,85.0,76.66666666666667,78.33333333333333,76.66666666666667,85.0
player,CHROME,*,sample.3gp,macOS-13.0-arm64-arm-64bit,*,300,97.66666666666666,2.260776661041756,98.33333333333333,98.33333333333333,95.0,95.0,100.0,100.0,95.0,100.0,100.0,95.0
player,FIREFOX,*,sample.mkv,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,76.66666666666667,4.409585518440988,73.33333333333333,71.66666666666667,83.33333333333334,70.0,76.66666666666667,73.33333333333333,78.33333333333333,76.66666666666667,83.33333333333334,80.0
player,CHROME,*,sample.mkv,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,83.33333333333334,4.714045207910316,83.33333333333334,76.66666666666667,85.0,86.66666666666667,81.66666666666667,85.0,76.66666666666667,90.0,90.0,78.33333333333333
player,EDGE,*,sample.mkv,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,89.0,3.9581140290126346,93.33333333333333,81.66666666666667,83.33333333333334,91.66666666666666,93.33333333333333,86.66666666666667,93.33333333333333,90.0,88.33333333333333,88.33333333333333
player,FIREFOX,*,sample.mp4,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,89.83333333333333,2.4094720491334902,91.66666666666666,88.33333333333333,86.66666666666667,91.66666666666666,91.66666666666666,90.0,90.0,93.33333333333333,90.0,85.0
player,CHROME,*,sample.mp4,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,91.66666666666667,3.4156502553198647,91.66666666666666,93.33333333333333,90.0,90.0,95.0,90.0,85.0,90.0,93.33333333333333,98.33333333333333
player,EDGE,*,sample.mp4,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,97.49999999999999,1.7078251276599323,98.33333333333333,96.66666666666667,98.33333333333333,98.33333333333333,96.66666666666667,98.33333333333333,93.33333333333333,98.33333333333333,100.0,96.66666666666667
player,FIREFOX,*,sample.flv,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,80.0,3.248931448269657,80.0,85.0,75.0,83.33333333333334,78.33333333333333,80.0,75.0,78.33333333333333,83.33333333333334,81.66666666666667
player,CHROME,*,sample.flv,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,78.16666666666666,5.398044913567216,80.0,86.66666666666667,80.0,71.66666666666667,73.33333333333333,70.0,76.66666666666667,80.0,76.66666666666667,86.66666666666667
player,EDGE,*,sample.flv,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,79.83333333333334,5.188127472091128,83.33333333333334,81.66666666666667,75.0,86.66666666666667,80.0,73.33333333333333,88.33333333333333,71.66666666666667,78.33333333333333,80.0
player,FIREFOX,*,sample.3gp,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,86.5,3.1135902820448957,85.0,81.66666666666667,85.0,88.33333333333333,91.66666666666666,86.66666666666667,91.66666666666666,85.0,83.33333333333334,86.66666666666667
player,CHROME,*,sample.3gp,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,97.5,1.3437096247164224,96.66666666666667,100.0,98.33333333333333,98.33333333333333,96.66666666666667,95.0,98.33333333333333,96.66666666666667,98.33333333333333,96.66666666666667
player,EDGE,*,sample.3gp,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,300,89.66666666666666,2.211083193570263,88.33333333333333,93.33333333333333,90.0,88.33333333333333,91.66666666666666,91.66666666666666,86.66666666666667,86.66666666666667,91.66666666666666,88.33333333333333
player,FIREFOX,*,sample.mkv,Windows-10-10.0.22621-SP0,*,300,87.66666666666667,4.096068575814835,88.33333333333333,95.0,90.0,85.0,85.0,80.0,86.66666666666667,86.66666666666667,93.33333333333333,86.66666666666667
player,CHROME,*,sample.mkv,Windows-10-10.0.22621-SP0,*,300,87.66666666666666,3.2659863237108993,85.0,90.0,91.66666666666666,86.66666666666667,88.33333333333333,88.33333333333333,90.0,91.66666666666666,83.33333333333334,81.66666666666667
player,EDGE,*,sample.mkv,Windows-10-10.0.22621-SP0,*,300,85.33333333333333,5.259911279353164,91.66666666666666,91.66666666666666,78.33333333333333,90.0,75.0,83.33333333333334,83.33333333333334,85.0,86.66666666666667,88.33333333333333
player,FIREFOX,*,sample.mp4,Windows-10-10.0.22621-SP0,*,300,92.33333333333334,2.9059326290271152,93.33333333333333,95.0,86.66666666666667,90.0,88.33333333333333,95.0,95.0,91.66666666666666,93.33333333333333,95.0
player,CHROME,*,sample.mp4,Windows-10-10.0.22621-SP0,*,300,77.83333333333334,4.219662967057388,78.33333333333333,80.0,73.33333333333333,73.33333333333333,76.66666666666667,81.66666666666667,86.66666666666667,78.33333333333333,71.66666666666667,78.33333333333333
player,EDGE,*,sample.mp4,Windows-10-10.0.22621-SP0,*,300,72.83333333333333,3.7305048809332346,70.0,73.33333333333333,76.66666666666667,80.0,75.0,73.33333333333333,71.66666666666667,73.33333333333333,66.66666666666666,68.33333333333333
player,FIREFOX,*,sample.flv,Windows-10-10.0.22621-SP0,*,300,89.16666666666667,3.4359213546813807,90.0,86.66666666666667,95.0,83.33333333333334,91.66666666666666,93.33333333333333,85.0,90.0,88.33333333333333,88.33333333333333
player,CHROME,*,sample.flv,Windows-10-10.0.22621-SP0,*,300,78.83333333333334,5.9651767227244274,81.66666666666667,85.0,78.33333333333333,68.33333333333333,80.0,83.33333333333334,88.33333333333333,76.66666666666667,70.0,76.66666666666667
player,EDGE,*,sample.flv,Windows-10-10.0.22621-SP0,*,300,96.0,1.6996731711975959,96.66666666666667,96.66666666666667,95.0,95.0,96.66666666666667,98.33333333333333,93.33333333333333,93.33333333333333,96.66666666666667,98.33333333333333
player,FIREFOX,*,sample.3gp,Windows-10-10.0.22621-SP0,*,300,85.33333333333333,4.988876515698589,90.0,93.33333333333333,80.0,88.33333333333333,78.33333333333333,90.0,85.0,78.33333333333333,86.66666666666667,83.33333333333334
player,CHROME,*,sample.3gp,Windows-10-10.0.22621-SP0,*,300,72.33333333333334,6.289320754704405,70.0,81.66666666666667,66.66666666666666,68.33333333333333,70.0,76.66666666666667,76.66666666666667,80.0,60.0,73.33333333333333
player,EDGE,*,sample.3gp,Windows-10-10.0.22621-SP0,*,300,82.83333333333334,3.6552853665768845,85.0,88.33333333333333,78.33333333333333,76.66666666666667,80.0,80.0,85.0,86.66666666666667,83.33333333333334,85.0
player,FIREFOX,*,sample.mkv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,81.83333333333334,3.370624736026116,83.33333333333334,76.66666666666667,78.33333333333333,86.66666666666667,81.66666666666667,85.0,80.0,86.66666666666667,81.66666666666667,78.33333333333333
player,CHROME,*,sample.mkv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,91.83333333333333,4.681523968396045,93.33333333333333,93.33333333333333,88.33333333333333,88.33333333333333,98.33333333333333,93.33333333333333,96.66666666666667,96.66666666666667,83.33333333333334,86.66666666666667
player,EDGE,*,sample.mkv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,92.83333333333333,4.412734098291242,98.33333333333333,88.33333333333333,96.66666666666667,96.66666666666667,91.66666666666666,96.66666666666667,86.66666666666667,90.0,96.66666666666667,86.66666666666667
player,FIREFOX,*,sample.mp4,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,72.0,4.6427960923947085,76.66666666666667,73.33333333333333,63.33333333333333,71.66666666666667,73.33333333333333,71.66666666666667,75.0,75.0,76.66666666666667,63.33333333333333
player,CHROME,*,sample.mp4,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,94.5,3.8042374035044446,96.66666666666667,85.0,98.33333333333333,96.66666666666667,95.0,91.66666666666666,96.66666666666667,91.66666666666666,96.66666666666667,96.66666666666667
player,EDGE,*,sample.mp4,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,89.00000000000001,4.096068575814834,93.33333333333333,86.66666666666667,95.0,85.0,86.66666666666667,85.0,95.0,90.0,90.0,83.33333333333334
player,FIREFOX,*,sample.flv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,87.33333333333333,4.784233364802439,85.0,85.0,95.0,85.0,88.33333333333333,88.33333333333333,93.33333333333333,88.33333333333333,88.33333333333333,76.66666666666667
player,CHROME,*,sample.flv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,91.16666666666666,4.9469406932186075,93.33333333333333,90.0,98.33333333333333,95.0,93.33333333333333,85.0,86.66666666666667,81.66666666666667,95.0,93.33333333333333
player,EDGE,*,sample.flv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,89.0,3.0912061651652323,88.33333333333333,88.33333333333333,85.0,90.0,83.33333333333334,90.0,95.0,90.0,88.33333333333333,91.66666666666666
player,FIREFOX,*,sample.3gp,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,78.66666666666666,3.6362373715452394,76.66666666666667,80.0,80.0,76.66666666666667,80.0,73.33333333333333,86.66666666666667,81.66666666666667,76.66666666666667,75.0
player,CHROME,*,sample.3gp,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,89.16666666666666,3.18416219575713,85.0,91.66666666666666,95.0,86.66666666666667,90.0,88.33333333333333,85.0,91.66666666666666,86.66666666666667,91.66666666666666
player,EDGE,*,sample.3gp,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,93.16666666666666,2.0344259359556207,91.66666666666666,91.66666666666666,95.0,96.66666666666667,93.33333333333333,95.0,90.0,91.66666666666666,95.0,91.66666666666666
