target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
player,CHROME,*,sample.3gp,Linux,*,300,89.16666666666666,3.18416219575713,85.0,91.66666666666666,95.0,86.66666666666667,90.0,88.33333333333333,85.0,91.66666666666666,86.66666666666667,91.66666666666666
player,EDGE,*,sample.3gp,Linux,*,300,93.16666666666666,2.0344259359556207,91.66666666666666,91.66666666666666,95.0,96.66666666666667,93.33333333333333,95.0,90.0,91.66666666666666,95.0,91.66666666666666
platform,CHROME,MPLAYER,sample.3gp,*,*,400,99.0,0.9354143466934853,98.75,98.75,100.0,100.0,98.75,97.5,98.75,100.0,97.5,100.0
platform,CHROME,MPV,sample.3gp,*,*,400,99.125,0.8003905296791061,98.75,98.75,100.0,98.75,100.0,100.0,98.75,100.0,97.5,98.75
platform,CHROME,VLC,sample.3gp,*,*,400,98.75,1.118033988749895,98.75,100.0,97.5,100.0,98.75,100.0,97.5,100.0,97.5,97.5
platform,EDGE,MPLAYER,sample.3gp,*,*,300,98.16666666666666,1.1666666666666645,98.33333333333333,96.66666666666667,96.66666666666667,100.0,98.33333333333333,96.66666666666667,98.33333333333333,98.33333333333333,98.33333333333333,100.0
platform,EDGE,MPV,sample.3gp,*,*,300,98.33333333333334,1.2909944487358038,100.0,96.66666666666667,96.66666666666667,100.0,98.33333333333333,100.0,98.33333333333333,98.33333333333333,98.33333333333333,96.66666666666667
platform,EDGE,VLC,sample.3gp,*,*,300,95.33333333333333,1.9436506316151034,96.66666666666667,96.66666666666667,95.0,93.33333333333333,95.0,91.66666666666666,96.66666666666667,98.33333333333333,93.33333333333333,96.66666666666667
platform,FIREFOX,MPLAYER,sample.3gp,*,*,400,96.875,1.7001838135919305,95.0,98.75,95.0,96.25,100.0,97.5,95.0,96.25,98.75,96.25
platform,FIREFOX,MPV,sample.3gp,*,*,400,95.75,2.25,98.75,97.5,95.0,96.25,96.25,98.75,96.25,93.75,91.25,93.75
platform,FIREFOX,VLC,sample.3gp,*,*,400,98.375,1.125,98.75,97.5,98.75,100.0,97.5,97.5,100.0,98.75,98.75,96.25
platform,CHROME,MPLAYER,sample.flv,*,*,400,99.25,0.82915619758885,100.0,100.0,100.0,97.5,100.0,98.75,98.75,100.0,98.75,98.75
platform,CHROME,MPV,sample.flv,*,*,400,98.75,1.25,100.0,100.0,100.0,97.5,98.75,97.5,96.25,98.75,100.0,98.75
platform,CHROME,VLC,sample.flv,*,*,400,99.125,1.2562344526401112,100.0,96.25,100.0,100.0,98.75,97.5,100.0,100.0,100.0,98.75
platform,EDGE,MPLAYER,sample.flv,*,*,300,95.83333333333334,3.593976442141305,100.0,93.33333333333333,96.66666666666667,100.0,95.0,100.0,90.0,96.66666666666667,96.66666666666667,90.0
platform,EDGE,MPV,sample.flv,*,*,300,98.83333333333334,1.499999999999998,100.0,100.0,98.33333333333333,96.66666666666667,96.66666666666667,96.66666666666667,100.0,100.0,100.0,100.0
platform,EDGE,VLC,sample.flv,*,*,300,97.16666666666667,2.242270674512285,95.0,93.33333333333333,95.0,100.0,100.0,100.0,96.66666666666667,96.66666666666667,98.33333333333333,96.66666666666667
platform,FIREFOX,MPLAYER,sample.flv,*,*,400,97.125,1.375,96.25,96.25,96.25,97.5,95.0,100.0,97.5,98.75,97.5,96.25
platform,FIREFOX,MPV,sample.flv,*,*,400,96.625,1.375,96.25,93.75,97.5,97.5,95.0,97.5,96.25,96.25,98.75,97.5
platform,FIREFOX,VLC,sample.flv,*,*,400,97.25,1.4577379737113252,96.25,97.5,97.5,100.0,97.5,97.5,97.5,97.5,93.75,97.5
platform,CHROME,MPLAYER,sample.mkv,*,*,400,98.75,1.479019945774904,95.0,98.75,100.0,97.5,100.0,98.75,100.0,100.0,98.75,98.75
platform,CHROME,MPV,sample.mkv,*,*,400,98.125,1.1524430571616109,98.75,98.75,98.75,96.25,98.75,97.5,100.0,96.25,98.75,97.5
platform,CHROME,VLC,sample.mkv,*,*,400,99.375,1.0077822185373186,100.0,100.0,97.5,100.0,97.5,100.0,100.0,100.0,100.0,98.75
platform,EDGE,MPLAYER,sample.mkv,*,*,300,96.5,2.4094720491334938,98.33333333333333,95.0,100.0,98.33333333333333,100.0,95.0,95.0,96.66666666666667,93.33333333333333,93.33333333333333
platform,EDGE,MPV,sample.mkv,*,*,300,99.16666666666666,1.118033988749895,100.0,98.33333333333333,98.33333333333333,100.0,96.66666666666667,98.33333333333333,100.0,100.0,100.0,100.0
platform,EDGE,VLC,sample.mkv,*,*,300,96.83333333333334,2.4094720491334938,96.66666666666667,98.33333333333333,93.33333333333333,100.0,100.0,95.0,98.33333333333333,95.0,98.33333333333333,93.33333333333333
platform,FIREFOX,MPLAYER,sample.mkv,*,*,400,96.5,2.0,97.5,96.25,96.25,96.25,92.5,96.25,93.75,98.75,98.75,98.75
platform,FIREFOX,MPV,sample.mkv,*,*,400,98.125,1.875,98.75,100.0,96.25,93.75,100.0,98.75,97.5,98.75,100.0,97.5
platform,FIREFOX,VLC,sample.mkv,*,*,400,97.75,1.5612494995995996,97.5,98.75,97.5,97.5,100.0,95.0,98.75,96.25,100.0,96.25
platform,CHROME,MPLAYER,sample.mp4,*,*,400,97.875,1.125,98.75,97.5,100.0,97.5,98.75,97.5,98.75,97.5,96.25,96.25
platform,CHROME,MPV,sample.mp4,*,*,400,99.625,0.57282196186948,100.0,100.0,100.0,100.0,100.0,98.75,100.0,98.75,100.0,98.75
platform,CHROME,VLC,sample.mp4,*,*,400,99.125,0.9762812094883317,98.75,97.5,97.5,100.0,100.0,100.0,100.0,98.75,98.75,100.0
